q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,x_mm,y_mm,z_mm
1.502366945524569246e+02,-8.944013042370058031e+01,6.637899373140459147e+01,-6.773694038618597801e+01,-1.154732120174997760e+02,-7.436672595253000395e+00,4.252699982003235846e+00,-1.107147893950987907e+02
1.024824503877207462e+02,7.845735566209145873e+01,-1.123533776375739990e+01,-9.141813886890486174e+01,-6.649010632348631589e+01,-7.767594602074984422e+00,3.508821292224673982e+01,2.772311120387345795e+02
-1.744944301107314004e+02,-3.407022086299309649e+01,2.788407372073274360e+01,-4.085680252088236841e+01,5.472678183874006663e+01,-1.830350498524051375e+02,-1.764222924712119323e+01,-8.986867663319529242e+01
1.538928707844686414e+02,-9.975415731606545933e+00,-6.119941654888999949e+01,1.057652765546704359e+02,1.605083799393354980e+02,-2.497151869840629388e+02,1.223727388802934257e+02,-1.732270883578732423e+02
-1.314339645891652424e+02,7.932553795622490611e+01,-4.444661413283308349e+01,-7.141687616188517040e+01,-1.374923915160303807e+02,-4.915088222080739655e+01,-5.568415442831395268e+01,2.394040838454962170e+02
9.340202775066495633e+01,-8.778084202971891159e+01,4.834089349044850792e+01,-4.656506246107999658e+01,-2.923783562774860911e+01,5.181489775110872387e-01,-8.716228880581837757e+00,-1.580887679891399671e+02
-1.285136259443754341e+02,2.844997820722278448e+01,-1.181617240969623595e+01,-1.217587625168724230e+01,1.096823295065573802e+02,-1.821775914221940127e+02,-2.289168553486983342e+02,9.137129300180839664e+01
-1.475456025103829916e+01,3.646307748697481088e+01,5.205184818736813668e+01,3.711852058786826092e+01,1.661007221173556445e+02,2.293666874456183109e+02,-6.040673067745154867e+01,4.239017332716289843e+02
1.831609707179794100e+01,-6.088341938217206462e+01,4.750329057935473998e+00,-4.546379327419457184e+01,-1.500022738042052310e+02,3.037786077280183861e+01,1.005598581599264918e+01,-1.320775910138670781e+02
9.229035302764287962e+01,-5.151350500877047978e+01,-4.021283390272824221e+01,1.204004573600551282e+02,-3.579918062573327120e+01,-6.253496103513645821e+00,1.563549649024913890e+02,-2.843969129110243443e+02
-2.112764550239481309e+01,8.364333836718498105e+01,5.364307652126123571e+01,9.166450554744056944e+01,-1.139158298419096127e+01,-1.786704689646699649e+02,6.904226004939761197e+01,4.484189285505911471e+02
-1.034987134579102843e+02,-9.247840380081088085e+01,-8.627663824199936471e+01,-6.945132967594045681e+01,-8.303438729906298477e+01,8.204120732069767996e+00,3.417600287487582023e+01,-8.265862171087086097e+00
9.985462212088492606e+01,-5.871764218802177027e+01,-1.890666445036328014e+01,2.164447299255371604e+00,-6.851304282985174154e+01,2.185487846004953383e+00,-1.258110364502863376e+01,-2.102664971664484312e+02
-1.162760750376318697e+02,-5.078565780043214772e+01,6.591381310034958574e+01,1.216781172611522379e+02,-4.655727166889374757e+01,-1.479353279928865845e+02,-2.996393252242932590e+02,1.163777514521571561e+02
-1.376967284511678713e+01,-3.699235794548496870e+01,-3.000857511500099406e+01,5.323968926788856493e+01,8.471747305471097889e+01,1.489943330748103563e+02,-3.651290720737887341e+01,-2.562958107300850088e+02
-6.586646784830274726e+01,-7.612586230345394256e+01,3.738262251623012844e+01,-2.015807587405461732e+00,1.498662992072290194e+02,2.832671842281617813e+01,-6.322587343304714125e+01,-2.422913002202906227e+02
-3.263972071537924080e+01,-1.002907085607158422e+02,4.104931204555390423e+01,1.198293615325482904e+02,-1.210974232742424306e+01,1.369698840796918375e+02,-8.772974624864245641e+01,-2.444850481441684735e+02
1.629537799754039611e+02,-7.250652007543797595e+01,-6.006664145460547388e+01,-2.384281468326607012e+01,-3.385942702374950386e+01,1.018095677166668196e+02,-3.121613630798247385e+01,-3.690053206497110239e+01
1.438049478127613838e+02,9.433701261132415539e+01,-1.488190773684991086e+00,5.537397385005724004e+01,4.594283085306926750e+01,-4.003264609068374114e+01,2.929415927101542749e+01,5.223364456198692096e+02
1.297917915776891959e+02,-8.379700517468570808e+01,8.649941274814821668e+00,8.025745772383200460e+01,9.872176211088196851e+01,-4.298196000857485899e+01,5.160358174540827036e+01,-3.283340265859674787e+02
9.628630302266356011e+01,9.612720716432198742e+01,-9.642414827506469521e+01,-7.634020453877930379e+01,-1.248014771808016832e+02,-6.254875387657712338e-01,5.678039745812000660e+00,2.296553800569075463e+02
2.911745297693207135e+01,-1.724751974053886272e+01,-8.936650624735266035e+01,-3.774216354719597177e+01,-3.932630843562677114e+01,2.741492784453069476e+01,1.526989293498930778e+01,1.987188063854920017e+01
2.113638919408742822e+00,4.968221177466097060e+01,-5.662330545787668257e+00,8.413725264493103850e+01,1.456853055600433322e+01,3.126958345040803238e+02,1.154057185250385942e+01,4.093217697358518308e+02
-5.141404737749977016e+01,6.003136106180636489e+01,-6.528342630356915777e+01,9.831145408832941257e+01,6.242893469680493013e+01,2.238782675994544604e+02,-2.805885260166649005e+02,2.337863236839165495e+02
1.632158107287274333e+02,-6.277234286414143583e+01,-5.614909629798565049e+01,1.812607436030717167e+00,-1.264479076849026029e+02,1.120139160827245348e+02,-3.378527020878804166e+01,-1.079143364799094940e+02
-1.656984186621972128e+02,-3.350692910480182718e+01,4.596146708291968253e+01,9.824366255581824703e+01,-9.600085100990619935e+01,-3.880958265795301259e+02,-9.893579303296418459e+01,9.550472421788271049e+01
1.599493288525227399e+02,-8.967692148134375429e+01,-8.657657560822136134e+01,5.729987105332185138e+01,-1.555909756346277391e+02,2.474510053992671033e+02,-9.031271130706129213e+01,-1.715217228332477362e-01
1.694330618216687867e+02,-4.951277908293523922e+01,-7.664140851541428390e+01,7.136534566484155562e+01,-2.791768985024552308e+01,9.155467246135025050e+01,-1.707931634402021714e+01,-2.126771827982956893e+02
1.440271388307854750e+02,-4.553540635886363930e+00,-1.004272252738287960e+02,-6.357448352679642767e+01,-1.442212140297688734e+02,-7.480690105747437713e+01,5.429627654057912878e+01,7.488345839008077576e+01
-1.147141823254296327e+02,-5.026295707148921821e+01,-8.715044853714321960e+01,9.600036445184267109e+01,6.238541010344530946e+01,4.025406983231322755e+01,8.746159194065288034e+01,-2.171095459868474791e+02
-2.016816068754306457e+01,7.913494295192117534e+01,1.849854602809060111e+01,5.202395725770537638e+01,7.655240220945984220e+01,7.131906163239085572e+01,-2.619531749173215829e+01,5.205094552833384114e+02
-2.179296417207282843e+01,-4.560816659055397793e+01,7.269144004009547189e+01,-1.769374454635810423e+01,-2.275408252819417498e+01,2.462881247968514344e+02,-9.847314148935481626e+01,-6.973017761967689410e+01
-8.054155745387036802e+01,8.050786539401258324e+00,4.014164128862745429e+00,-3.723365846870009932e+00,-5.281972318963056523e+01,5.288821224190703418e+01,-3.174618321826512215e+02,2.773495227266920438e+01
1.502750803286133419e+01,-2.729606397687257413e+01,5.148250087355901883e+01,-6.578907715008568857e+01,7.936624324411246789e+01,1.834961215474921801e+02,4.926207239954158013e+01,-4.910883978095966995e+00
-1.048795161874557351e+02,8.599710884481297057e+01,-2.615663262449899662e+01,-2.779702684602355589e+01,1.443514783973217277e+02,-4.002635212482604743e+01,-1.506468121642087112e+02,2.798781611300502163e+02
-1.629446065247960860e+02,9.539279417907170000e+01,8.095133586255855107e+01,4.821218900528137397e+01,2.505629493473259117e+01,2.451495728244405257e+02,7.520898655561225610e+01,3.638220489168505765e+02
8.767025304738297109e+00,-8.881621449752407216e+01,-8.411592014136063256e+01,5.401386155358383689e+01,1.648683638610982030e+02,-2.572269203620098210e+02,-3.966925835621975693e+01,-8.866512282968066927e+00
3.689738537374125826e+00,-1.057901995157659911e+02,6.128185980732934013e+01,8.520754155387916740e+01,-5.885571954436680642e+01,1.491732770187996664e+02,9.619775302567168396e+00,-2.523078692207113818e+02
6.473470729799566925e+01,-7.683376827278479482e+01,-6.984211832121856389e+01,5.864945584841328241e+01,3.573805217615102947e+00,-9.404261400665173198e+01,-1.992610056195196080e+02,-1.365622085030270796e+02
3.201321708561448531e+01,1.883404932712764435e+00,8.327212174013232016e+01,7.587835606043276471e+01,1.436844147425586584e+02,1.804883685747406616e+02,1.128395506148539766e+02,3.824451948306972326e+02
-7.501911094195000373e+01,9.579978751345092292e+01,5.929921886250323837e+01,-7.779673302493229414e+01,-1.486415019249528484e+02,-6.254417876668213694e+00,2.337298663404659749e+01,2.951656962086871658e+02
-1.110524263817173249e+02,-3.670682411495762665e+01,-5.877076616245061302e+01,-8.843964759361632844e+01,-1.979527337183304780e+01,-4.348729545443019617e+01,-1.129791789428876712e+02,-8.971631922112777602e+00
-8.549573039712896616e+01,-1.068999332312793626e+01,5.234703259176063739e+01,-2.824469412583216865e+01,-1.654909241529639701e+02,2.335740674884245749e+01,-2.965015095538107630e+02,4.693089276189681414e+01
1.204336703801262729e+02,-4.994387638673615015e+00,-5.390267488097674686e+01,1.070013810326964574e+02,8.467021890966270803e+01,-1.682217285464234919e+02,2.863413264265450380e+02,-1.257338775536303075e+02
-2.818657286913813209e+01,-3.449251066144373112e+01,-8.800279761193984029e+01,-3.629953616866411892e+01,7.769859518654925523e+01,1.769865962911374879e+00,-9.484598592099935388e-01,1.021956409395278342e+01
-1.527714451011866288e+02,-2.844554240878694884e+01,1.453959396865568010e+01,6.501030481905192460e+01,8.741610382588720540e+01,-3.434230356560285031e+02,-1.767118820337613556e+02,-8.951091006623121871e+01
-7.466116422000929731e+01,-3.817606661447506156e+01,-7.100236514899950180e+01,6.263118858060201433e+01,-8.443095720797903425e+01,-5.397582718682631508e+00,1.967782582234437427e+01,-2.253323099087886021e+02
-7.047597170774196229e+00,7.934352312833348719e+01,-1.007334944016905212e+02,9.104264172459411952e+01,8.634558196904657734e+01,2.894521381622575404e+02,-3.578435957124062128e+01,1.586331159576900518e+02
5.225485724381326236e+01,-2.214208810134630312e+01,2.093163035300020169e+01,1.115371057413462665e+02,-1.456981944474465251e+02,2.564167418418621764e+02,3.312248140085138175e+02,8.680909160488891985e+01
-1.556020998079336266e+02,-3.585761071461845972e+01,-8.169785836326910555e+01,1.046597294233908144e+02,1.034561570900231118e+02,-2.657838507598865974e+01,-1.205531570527242557e+01,-2.491467857802730066e+02
-1.229694095906841653e+02,-2.903285552182974527e+01,-2.016791553019319849e+01,1.128363085350749486e+02,-6.148088887579517348e+01,-1.922461879021816458e+02,-2.963794752459705819e+02,-1.443485533184193628e+02
-7.124932457970743371e+00,2.966208168089565334e+00,5.201524490225224895e+01,9.357395640240159196e+01,6.147882203067317164e+01,3.094957086441723391e+02,-3.868650334480736319e+01,3.466774511621387660e+02
-4.920148140518725199e+01,-5.881652337159147947e+01,-2.357911760771018805e+01,2.841181403970557540e+01,9.609196037708636595e+01,-2.911399334276651985e+00,3.373064903540793580e+00,-2.567150993452631837e+02
